RecordID,DateEnregistrement,Temperature,Humidite,ResRecordID,IndiceQualite,ScoreConfort,Risque
1.0,1.1,21.0,45.0,1.0,0.55,11.190000000000001,1.8199999999999998
2.0,2.1,21.5,45.5,2.0,0.8174999999999999,11.24,1.8800000000000001
3.0,3.1,22.0,46.0,3.0,1.08,11.29,1.94
4.0,4.1,22.5,46.5,4.0,1.3375,11.34,2.0
5.0,5.1,23.0,47.0,5.0,1.59,11.39,2.06
6.0,6.1,23.5,47.5,6.0,1.8375000000000001,11.44,2.1199999999999997
7.0,7.1,24.0,48.0,7.0,2.08,11.489999999999998,2.18
8.0,8.1,24.5,48.5,8.0,2.3175,11.54,2.2399999999999998
9.0,9.1,25.0,49.0,9.0,2.55,11.59,2.3000000000000003
10.0,10.1,25.5,49.5,10.0,2.7775,11.64,2.36
11.0,11.1,26.0,50.0,11.0,3.0,11.69,2.42
12.0,12.1,26.5,23.0,12.0,2.925,11.739999999999998,2.9299999999999997
